country,date,population,netMigration,population_millions
India,2023,1428627663.0,-486136,1428.627663
India,2022,1417173173.0,-487303,1417.173173
India,2021,1407563842.0,-301970,1407.563842
India,2020,1396387127.0,-34772,1396.387127
India,2019,1383112050.0,-593495,1383.11205
India,2018,1369003306.0,-561563,1369.003306
India,2017,1354195680.0,-219656,1354.19568
India,2016,1338636340.0,68119,1338.63634
India,2015,1322866505.0,-475094,1322.866505
India,2014,1307246509.0,-310694,1307.246509
India,2013,1291132063.0,-236387,1291.132063
India,2012,1274487215.0,-180991,1274.487215
India,2011,1257621191.0,-244114,1257.621191
India,2010,1240613620.0,-380087,1240.61362
India,2009,1223640160.0,-803437,1223.64016
India,2008,1206734806.0,-846785,1206.734806
India,2007,1189691809.0,-769184,1189.691809
India,2006,1172373788.0,-678231,1172.373788
India,2005,1154638713.0,-550186,1154.638713
India,2004,1136264583.0,-214351,1136.264583
India,2003,1117415123.0,-255516,1117.415123
India,2002,1098313039.0,-208070,1098.313039
India,2001,1078970907.0,-177306,1078.970907
India,2000,1059633675.0,-149966,1059.633675
India,1999,1040500054.0,-106592,1040.500054
India,1998,1021434576.0,-28485,1021.434576
India,1997,1002335230.0,1240,1002.33523
India,1996,983281218.0,-26079,983.281218
India,1995,964279129.0,-57139,964.279129
India,1994,945261958.0,110095,945.261958
India,1993,926351297.0,2440,926.351297
India,1992,907574049.0,8198,907.574049
India,1991,888941756.0,-158007,888.941756
India,1990,870452165.0,108465,870.452165
India,1989,852012673.0,-13987,852.012673
India,1988,833729681.0,-103742,833.729681
India,1987,815716125.0,-232178,815.716125
India,1986,797878993.0,-258917,797.878993
India,1985,780242084.0,-112781,780.242084
India,1984,762895156.0,-57788,762.895156
India,1983,745826546.0,46174,745.826546
India,1982,729169466.0,-26106,729.169466
India,1981,712869298.0,23662,712.869298
India,1980,696828385.0,202323,696.828385
India,1979,681248383.0,68198,681.248383
India,1978,666267760.0,-13841,666.26776
India,1977,651685628.0,-31092,651.685628
India,1976,637451448.0,-436104,637.451448
India,1975,623524219.0,-225989,623.524219
India,1974,609721951.0,-168162,609.721951
India,1973,596107483.0,-62763,596.107483
India,1972,582837973.0,-60291,582.837973
India,1971,569999178.0,-220417,569.999178
India,1970,557501301.0,-45792,557.501301
India,1969,545314670.0,-171683,545.31467
India,1968,533431909.0,-184326,533.431909
India,1967,521987069.0,-124336,521.987069
India,1966,510992617.0,-144807,510.992617
India,1965,500114346.0,19077,500.114346
India,1964,489059309.0,5837,489.059309
India,1963,477933619.0,48986,477.933619
India,1962,467024193.0,110398,467.024193
India,1961,456351876.0,114181,456.351876
India,1960,445954579.0,52264,445.954579
Pakistan,2023,240485658.0,-165988,240.485658
Pakistan,2022,235824862.0,-165988,235.824862
Pakistan,2021,231402117.0,-471395,231.402117
Pakistan,2020,227196741.0,-588736,227.196741
Pakistan,2019,223293280.0,-1177218,223.29328
Pakistan,2018,219731479.0,-1309609,219.731479
Pakistan,2017,216379655.0,-1574581,216.379655
Pakistan,2016,213524840.0,-2290411,213.52484
Pakistan,2015,210969298.0,-2172159,210.969298
Pakistan,2014,208251628.0,-2037911,208.251628
Pakistan,2013,205337562.0,-1906315,205.337562
Pakistan,2012,202205861.0,-1647986,202.205861
Pakistan,2011,198602738.0,-890633,198.602738
Pakistan,2010,194454498.0,-431891,194.454498
Pakistan,2009,190123222.0,-338507,190.123222
Pakistan,2008,185931955.0,-525915,185.931955
Pakistan,2007,181924521.0,-563471,181.924521
Pakistan,2006,178069984.0,-628923,178.069984
Pakistan,2005,174372098.0,-632467,174.372098
Pakistan,2004,170648620.0,-524871,170.64862
Pakistan,2003,166876680.0,-578225,166.87668
Pakistan,2002,163262807.0,-834546,163.262807
Pakistan,2001,159217727.0,344288,159.217727
Pakistan,2000,154369924.0,940739,154.369924
Pakistan,1999,149694462.0,148403,149.694462
Pakistan,1998,145476106.0,148849,145.476106
Pakistan,1997,141330267.0,151546,141.330267
Pakistan,1996,137234810.0,147987,137.23481
Pakistan,1995,133117476.0,296208,133.117476
Pakistan,1994,129245139.0,-276644,129.245139
Pakistan,1993,125546615.0,-278,125.546615
Pakistan,1992,122375179.0,-1320633,122.375179
Pakistan,1991,119203569.0,-6127,119.203569
Pakistan,1990,115414069.0,30184,115.414069
Pakistan,1989,111670386.0,68004,111.670386
Pakistan,1988,107967838.0,148304,107.967838
Pakistan,1987,104251093.0,326899,104.251093
Pakistan,1986,100618523.0,199664,100.618523
Pakistan,1985,97121552.0,282435,97.121552
Pakistan,1984,94003867.0,-351354,94.003867
Pakistan,1983,91080372.0,73873,91.080372
Pakistan,1982,87828198.0,552153,87.828198
Pakistan,1981,84270202.0,997103,84.270202
Pakistan,1980,80624057.0,1078233,80.624057
Pakistan,1979,77407341.0,450001,77.407341
Pakistan,1978,74789330.0,110097,74.78933
Pakistan,1977,72451105.0,84000,72.451105
Pakistan,1976,70230923.0,47154,70.230923
Pakistan,1975,68126999.0,-3437,68.126999
Pakistan,1974,66149169.0,-69596,66.149169
Pakistan,1973,64285624.0,-116081,64.285624
Pakistan,1972,62509565.0,-138485,62.509565
Pakistan,1971,60878781.0,-136808,60.878781
Pakistan,1970,59290872.0,-116631,59.290872
Pakistan,1969,57676805.0,-114875,57.676805
Pakistan,1968,56124743.0,-117510,56.124743
Pakistan,1967,54629793.0,-119938,54.629793
Pakistan,1966,53199414.0,-122151,53.199414
Pakistan,1965,51841626.0,-124241,51.841626
Pakistan,1964,50552592.0,-126712,50.552592
Pakistan,1963,49325050.0,-129202,49.32505
Pakistan,1962,48161841.0,-131607,48.161841
Pakistan,1961,47060915.0,-133982,47.060915
Pakistan,1960,45954226.0,0,45.954226
